geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,geolocation_records
1001,-23.550189776551765,-46.6340235559042,sao paulo,SP,26
1004,-23.549798842277006,-46.63475694378971,sao paulo,SP,22
1005,-23.549456199830747,-46.63673294803691,sao paulo,SP,25
1006,-23.55010181145287,-46.636136735174176,sao paulo,SP,9
1008,-23.546001749383464,-46.63588592135778,sao paulo,SP,16
1009,-23.546835208320868,-46.636490695312204,sao paulo,SP,41
1011,-23.54690864025111,-46.63558202636041,sao paulo,SP,21
1012,-23.547789733146864,-46.63485900505736,sao paulo,SP,17
1013,-23.5471420283239,-46.63423580006204,sao paulo,SP,20
1014,-23.545912805690417,-46.63361537124495,sao paulo,SP,54
1017,-23.54953127194786,-46.631023845552235,sao paulo,SP,41
1019,-23.551774137807584,-46.63089338270138,sao paulo,SP,25
1020,-23.552335651551417,-46.630049709845736,sao paulo,SP,66
1021,-23.543000459064803,-46.63214323386248,sao paulo,SP,23
1022,-23.544921826153427,-46.631931335611945,sao paulo,SP,17
1026,-23.539657127270946,-46.6318842127058,sao paulo,SP,39
1027,-23.538082328385336,-46.630668675067795,sao paulo,SP,28
1031,-23.54190585344045,-46.63508761691669,sao paulo,SP,31
1032,-23.540124454559958,-46.63519354379768,sao paulo,SP,45
1035,-23.541614488738944,-46.641549142526515,sao paulo,SP,39
1037,-23.545411016454082,-46.63892437204838,sao paulo,SP,26
1040,-23.541028179008823,-46.63832469496941,sao paulo,SP,14
1041,-23.54390458746036,-46.640046486444724,sao paulo,SP,25
1042,-23.54485294953175,-46.640410456031695,sao paulo,SP,40
1044,-23.545598238423416,-46.64145267015315,sao paulo,SP,18
1046,-23.545930039168812,-46.64399751778182,sao paulo,SP,141
1047,-23.546187607081748,-46.64106743356167,sao paulo,SP,42
1048,-23.54711318884073,-46.639839874896374,sao paulo,SP,44
1050,-23.54922916358051,-46.64303023455153,sao paulo,SP,102
1103,-23.53546844605213,-46.630290773383486,sao paulo,SP,40
1107,-23.52608789203137,-46.6295898871866,sao paulo,SP,19
1120,-23.530162529753113,-46.63951141166309,sao paulo,SP,44
1123,-23.529164543710603,-46.636582392674725,sao paulo,SP,53
1124,-23.528221233825743,-46.6330954010969,sao paulo,SP,39
1126,-23.52706654933756,-46.6391527868084,sao paulo,SP,34
1129,-23.524051385464382,-46.64507304012999,sao paulo,SP,40
1131,-23.522379737671027,-46.64310784736644,sao paulo,SP,62
1132,-23.52153987930432,-46.64873923331728,sao paulo,SP,42
1134,-23.518899939878285,-46.65269033643667,sao paulo,SP,35
1135,-23.52619042672918,-46.650970041202214,sao paulo,SP,85
1137,-23.522851480322114,-46.65280923153935,sao paulo,SP,30
1138,-23.522455823939264,-46.655253903664246,sao paulo,SP,46
1139,-23.520724956071753,-46.66593897144172,sao paulo,SP,104
1141,-23.520310325905555,-46.666439013917504,sao paulo,SP,96
1151,-23.531641584683715,-46.656288753249086,sao paulo,SP,103
1153,-23.529930846298754,-46.653549086904356,sao paulo,SP,117
1154,-23.530535897249937,-46.65929570388055,sao paulo,SP,66
1155,-23.52907288402518,-46.66331995168208,sao paulo,SP,81
1156,-23.528921138302913,-46.66643724514499,sao paulo,SP,94
1201,-23.53608280967418,-46.649539390469315,sao paulo,SP,66
1202,-23.533742576459336,-46.64828045105447,sao paulo,SP,106
1203,-23.53596465666132,-46.64529955632679,sao paulo,SP,54
1204,-23.535992639468514,-46.64408982260722,sao paulo,SP,38
1205,-23.536490774893963,-46.64264196680963,sao paulo,SP,29
1206,-23.53586368511747,-46.64281871336397,sao paulo,SP,30
1207,-23.539175560135185,-46.63865415001012,sao paulo,SP,31
1208,-23.538660495662256,-46.63898204602016,sao paulo,SP,39
1209,-23.540695255566067,-46.64158293572282,sao paulo,SP,81
1210,-23.540039340558916,-46.64209131081347,sao paulo,SP,40
1211,-23.53757657410565,-46.648837901189005,sao paulo,SP,57
1212,-23.538268511790662,-46.63942263256764,sao paulo,SP,27
1213,-23.53650149461516,-46.64036116340707,sao paulo,SP,23
1214,-23.53884249396186,-46.645230453060144,sao paulo,SP,61
1216,-23.533127593964494,-46.647833807450674,sao paulo,SP,48
1218,-23.531249798864057,-46.648325141054045,sao paulo,SP,66
1219,-23.541288814286368,-46.64569860301066,sao paulo,SP,50
1220,-23.544514011109737,-46.64603990221942,sao paulo,SP,77
1221,-23.544867697472082,-46.64828171537101,sao paulo,SP,100
1222,-23.545944543973,-46.64936937401519,sao paulo,SP,145
1223,-23.544088116558562,-46.6485821171502,sao paulo,SP,164
1224,-23.54177865147579,-46.65242233963953,sao paulo,SP,169
1225,-23.53978602121373,-46.64913883151016,sao paulo,SP,43
1226,-23.538010108905684,-46.652719268127555,sao paulo,SP,163
1227,-23.546201912968815,-46.658384582733994,sao paulo,SP,135
1228,-23.545189379286,-46.657610856988455,sao paulo,SP,158
1229,-23.538901609843467,-46.657291130376834,sao paulo,SP,155
1230,-23.536310405918027,-46.65711200863413,sao paulo,SP,230
1231,-23.536950407426133,-46.65925589278497,sao paulo,SP,136
1232,-23.53642800353018,-46.65742601137802,sao paulo,SP,215
1233,-23.536246540149957,-46.661665217965776,sao paulo,SP,97
1235,-23.536714276862273,-46.66466630391698,sao paulo,SP,24
1237,-23.54323445101232,-46.668724402289044,sao paulo,SP,8
1238,-23.542571396851145,-46.65424333104066,sao paulo,SP,164
1239,-23.543095270084798,-46.631059196217635,sao paulo,SP,152
1240,-23.543791843442868,-46.658543962529855,sao paulo,SP,130
1241,-23.54552478660237,-46.65784019308335,sao paulo,SP,77
1242,-23.546506947085888,-46.65850174642453,sao paulo,SP,54
1243,-23.548120304994384,-46.65919184884556,sao paulo,SP,96
1244,-23.56204912797664,-46.65959031403356,sao paulo,SP,99
1250,-23.547640483075995,-46.671972633543334,sao paulo,SP,29
1253,-23.54492912635292,-46.679164692087,sao paulo,SP,7
1254,-23.543337420255035,-46.680852402934015,sao paulo,SP,39
1256,-23.547773256174622,-46.682838349154586,são paulo,SP,6
1257,-23.54360983905432,-46.687838575110746,sao paulo,SP,97
1258,-23.544037017325074,-46.686850912471364,sao paulo,SP,161
1259,-23.541418553843283,-46.68530389676934,sao paulo,SP,86
1301,-23.549328970281223,-46.65089009868754,sao paulo,SP,68
1302,-23.549002921262293,-46.6495522786361,sao paulo,SP,59
1303,-23.54950569815466,-46.64843251428849,sao paulo,SP,166
1306,-23.553785206718914,-46.649605096945386,sao paulo,SP,230
1307,-23.55277801011571,-46.65320770049062,sao paulo,SP,311
1308,-23.555981373614504,-46.65331111428114,sao paulo,SP,143
1309,-23.555493080015935,-46.658452189500665,sao paulo,SP,115
1310,-23.561652948469515,-46.65602130430728,sao paulo,SP,235
1311,-23.564504609380947,-46.652792655953206,sao paulo,SP,309
1312,-23.554793872613402,-46.64961491794625,sao paulo,SP,90
1313,-23.556111699158382,-46.65057380587248,sao paulo,SP,141
1314,-23.552640734461256,-46.64520437763303,sao paulo,SP,73
1316,-23.55295484539391,-46.6394328193213,sao paulo,SP,57
1317,-23.556238213645067,-46.640059865228494,sao paulo,SP,128
1318,-23.559447989888127,-46.642412737332194,sao paulo,SP,107
1319,-23.55188165773143,-46.640727972716256,sao paulo,SP,90
1320,-23.557955062291963,-46.639347399325395,sao paulo,SP,29
1321,-23.56212863488459,-46.64191854981315,sao paulo,SP,167
1322,-23.56317165882958,-46.64345614157524,sao paulo,SP,139
1323,-23.56573478465023,-46.64147810312641,sao paulo,SP,96
1324,-23.555214735465718,-46.643150740203204,sao paulo,SP,65
1325,-23.557390163497686,-46.644458336676024,sao paulo,SP,45
1326,-23.55653901468896,-46.645439561798014,sao paulo,SP,42
1327,-23.565113424714426,-46.644944579328765,sao paulo,SP,101
1328,-23.555992686485013,-46.64679480230547,sao paulo,SP,44
1329,-23.56197752132482,-46.64728109566715,sao paulo,SP,79
1330,-23.559037886116048,-46.64945883730208,sao paulo,SP,82
1331,-23.56266441471218,-46.64999665805783,sao paulo,SP,106
1333,-23.56643505240895,-46.64756359661896,sao paulo,SP,124
1401,-23.575807250351687,-46.65865462724659,sao paulo,SP,83
1402,-23.574837390049076,-46.65739203989358,sao paulo,SP,74
1403,-23.568755038771073,-46.65340944414581,sao paulo,SP,281
1404,-23.568544733628446,-46.65578027665806,sao paulo,SP,86
1405,-23.564762579634394,-46.655138385183726,sao paulo,SP,121
1406,-23.574814338967826,-46.67029927274052,sao paulo,SP,44
1407,-23.576111884428947,-46.67139205737759,sao paulo,SP,99
1408,-23.56711189502811,-46.66081341581779,sao paulo,SP,121
1409,-23.56146082458661,-46.6582620039177,sao paulo,SP,182
1410,-23.562831445869627,-46.66092524802457,sao paulo,SP,123
1411,-23.56424786754298,-46.66405956794994,sao paulo,SP,112
1415,-23.55609171648326,-46.660462198375534,sao paulo,SP,319
1416,-23.560692913961415,-46.6676885326705,sao paulo,SP,143
1417,-23.55277885309958,-46.63393189503633,sao paulo,SP,86
1419,-23.563541620009783,-46.65594961304881,sao paulo,SP,177
1420,-23.563435490498804,-46.657916039196984,sao paulo,SP,167
1421,-23.563299264968794,-46.66015369245716,sao paulo,SP,110
1422,-23.563961910707366,-46.661132368415885,sao paulo,SP,149
1423,-23.5691451171934,-46.65734766505131,sao paulo,SP,208
1424,-23.568041456805936,-46.66139884320943,sao paulo,SP,136
1425,-23.57289853249542,-46.65924739236762,sao paulo,SP,130
1427,-23.571044764791594,-46.66406861421766,sao paulo,SP,38
1430,-23.65614006235602,-46.66250204609212,sao paulo,SP,11
1444,-23.573235541829785,-46.68752695447545,sao paulo,SP,19
1448,-23.578237896388124,-46.6798226933562,sao paulo,SP,29
1451,-23.577435950107763,-46.68698984950365,sao paulo,SP,183
1452,-23.574996445978105,-46.68887938403559,sao paulo,SP,153
1453,-23.584059003974733,-46.686376108944685,sao paulo,SP,117
1454,-23.582376976278088,-46.68670275509791,sao paulo,SP,98
1455,-23.5805541360028,-46.69112136854047,sao paulo,SP,161
1503,-23.557709002952702,-46.63676937101554,sao paulo,SP,61
1504,-23.566860580458098,-46.63950529622234,sao paulo,SP,108
1505,-23.555267611186444,-46.63182476204627,sao paulo,SP,10
1506,-23.559558667862476,-46.635032185031825,sao paulo,SP,36
1507,-23.558146418434657,-46.63176589052542,sao paulo,SP,42
1508,-23.56142363121043,-46.63583005941286,sao paulo,SP,95
1509,-23.567010080253134,-46.635798141250085,sao paulo,SP,92
1510,-23.55760216498659,-46.63361528281082,sao paulo,SP,38
1511,-23.5614568127286,-46.63294793571508,sao paulo,SP,73
1512,-23.55371720607981,-46.629499097304134,sao paulo,SP,83
1516,-23.5590732442397,-46.615479964241814,sao paulo,SP,36
1518,-23.559209262391253,-46.62318692012759,sao paulo,SP,23
1519,-23.56092636240119,-46.62475706787166,sao paulo,SP,24
1520,-23.559378269055898,-46.62016401941447,sao paulo,SP,91
1521,-23.561174444941713,-46.62150903166886,sao paulo,SP,38
1523,-23.564203478452267,-46.61689706470856,sao paulo,SP,45
1525,-23.564028977467743,-46.634953911249525,sao paulo,SP,104
1526,-23.565952267759904,-46.630943918566196,sao paulo,SP,132
1527,-23.56243917352596,-46.62919220917374,sao paulo,SP,84
1528,-23.564770045306158,-46.627165924834166,sao paulo,SP,48
1529,-23.56843915687453,-46.634555491641365,sao paulo,SP,151
1530,-23.56894449806347,-46.63008918820539,sao paulo,SP,80
1531,-23.570760627713355,-46.632425247383914,sao paulo,SP,80
1532,-23.570534217612966,-46.6361118769605,sao paulo,SP,198
1533,-23.57116812309982,-46.638364543350306,sao paulo,SP,72
1534,-23.56754359015962,-46.626085143450275,sao paulo,SP,80
1537,-23.57442284838845,-46.623137264431584,sao paulo,SP,44
1539,-23.5711528559151,-46.62043601303771,sao paulo,SP,36
1541,-23.56925274057871,-46.61861697305809,sao paulo,SP,35
1543,-23.573720975073687,-46.62387176826929,sao paulo,SP,51
1544,-23.577255432718097,-46.62163174221563,sao paulo,SP,84
1545,-23.58097414309849,-46.61831033162644,sao paulo,SP,46
1547,-23.5829939617234,-46.62112676164033,sao paulo,SP,29
1548,-23.576927145286824,-46.613420785200006,sao paulo,SP,77
1549,-23.576317533999337,-46.615586656693765,sao paulo,SP,72
1550,-23.57305660659289,-46.616150545611475,sao paulo,SP,35
1551,-23.572737912267932,-46.61268007361107,sao paulo,SP,38
1552,-23.56949069519509,-46.611321773237286,sao paulo,SP,59
2012,-23.513066026188508,-46.63196817761764,sao paulo,SP,42
2013,-23.502206174225098,-46.63311453979948,sao paulo,SP,117
2016,-23.50398483876719,-46.6256721599388,sao paulo,SP,42
2018,-23.49570370617884,-46.62970690460869,sao paulo,SP,74
2019,-23.49826308491997,-46.629651561730405,sao paulo,SP,22
2020,-23.496468603688918,-46.63329280565478,sao paulo,SP,90
2021,-23.498309141177288,-46.6358858984643,sao paulo,SP,101
2022,-23.50407390342452,-46.63767093473863,sao paulo,SP,144
2028,-23.508702544567765,-46.61833692171872,sao paulo,SP,9
2029,-23.509362078522784,-46.61934355300127,sao paulo,SP,25
2030,-23.505871338521406,-46.62468256911272,sao paulo,SP,5
2031,-23.510062708819763,-46.6257781627838,sao paulo,SP,6
2033,-23.499900453395483,-46.61504999074923,sao paulo,SP,58
2034,-23.504072876495652,-46.62414421625581,sao paulo,SP,42
2036,-23.501744307143422,-46.6208028623093,sao paulo,SP,47
2037,-23.49971822107626,-46.620555045277534,sao paulo,SP,56
2040,-23.48965996001442,-46.62257166509295,sao paulo,SP,55
2043,-23.489943419781984,-46.61612445688869,sao paulo,SP,60
2044,-23.495724717630402,-46.618787965852384,sao paulo,SP,27
2046,-23.492280455300875,-46.61176940207568,sao paulo,SP,29
2047,-23.51721555382505,-46.61867396387229,sao paulo,SP,6
