product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
41d3672d4792049fa1779bb35283ed13,instrumentos_musicais,60.0,745.0,1.0,200.0,38.0,5.0,11.0
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,54.0,630.0,1.0,1100.0,16.0,10.0,16.0
cf55509ea8edaaac1d28fdb16e48fc22,instrumentos_musicais,43.0,1827.0,3.0,250.0,17.0,7.0,17.0
6a2fb4dd53d2cdb88e0432f1284a004c,perfumaria,39.0,346.0,2.0,400.0,27.0,5.0,20.0
a0736b92e52f6cead290e30b578413b6,moveis_decoracao,56.0,296.0,2.0,1700.0,100.0,7.0,15.0
1c1890ba1779090cd54008a3c3302921,moveis_decoracao,27.0,158.0,4.0,2550.0,29.0,24.0,45.0
518ef5de2c2b3a255e326a4594ba15d9,cama_mesa_banho,27.0,329.0,2.0,800.0,36.0,8.0,16.0
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,56.0,209.0,1.0,1800.0,40.0,10.0,30.0
8ba4f2a4ae695d26e5626c1bf710975e,utilidades_domesticas,52.0,968.0,1.0,900.0,50.0,5.0,50.0
c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,35.0,1101.0,2.0,300.0,42.0,2.0,30.0
e1d1d22e9f8122a4ec1533b032c12562,ferramentas_jardim,49.0,1163.0,9.0,2150.0,70.0,8.0,34.0
20e37962088a4061d3578def47a8648b,moveis_decoracao,60.0,208.0,1.0,800.0,40.0,10.0,34.0
5370b82a213393979691c98074265584,bebes,52.0,708.0,9.0,7950.0,33.0,30.0,44.0
680874c570dad71c0a2844cfbf417054,moveis_decoracao,47.0,502.0,1.0,600.0,25.0,25.0,25.0
8b3a9476f74f5297f7ff0ec6d95fe1ea,moveis_decoracao,63.0,254.0,2.0,2050.0,49.0,13.0,41.0
7a8dac4aaa16bc642e4df33adcf03303,cool_stuff,38.0,1701.0,2.0,11750.0,18.0,40.0,79.0
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,38.0,1176.0,3.0,15350.0,47.0,40.0,47.0
3fcd8dfe610c62edfb51de2630cd9ef4,bebes,50.0,509.0,4.0,5700.0,41.0,17.0,49.0
1065dbb6b0bf03daaedab1236979e296,papelaria,49.0,488.0,3.0,1400.0,38.0,40.0,39.0
dc21247da0290904ffbbcd5953c76f95,papelaria,41.0,92.0,1.0,100.0,16.0,5.0,16.0
d0389f20b3d11de54e1e4561df147683,casa_construcao,55.0,1441.0,1.0,10000.0,60.0,25.0,25.0
3e9b58f1436820c248d3f98d7229bb14,relogios_presentes,56.0,489.0,2.0,250.0,16.0,11.0,11.0
575c38b4c88fc7b35ef22fc8312bfe1b,cool_stuff,57.0,992.0,3.0,1200.0,44.0,20.0,20.0
556702ebb73d3786a852ad3d5a8ad268,construcao_ferramentas_construcao,54.0,339.0,1.0,4800.0,25.0,8.0,25.0
e586ebb6022265ae1eea38f46ffe3ead,beleza_saude,40.0,1469.0,3.0,1050.0,18.0,21.0,27.0
0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0
be1be330cf34043d1c40d6114cbd11b5,relogios_presentes,51.0,484.0,1.0,317.0,19.0,13.0,16.0
75b4372e69a42f8ae1d908c076f547b2,beleza_saude,22.0,1313.0,1.0,938.0,29.0,22.0,23.0
3569d4374a919941a50f57371b1dc93d,beleza_saude,37.0,1168.0,1.0,2700.0,21.0,16.0,31.0
0992c6cba95a13bfa68ea7d5e22d478b,ferramentas_jardim,42.0,671.0,1.0,3850.0,29.0,12.0,24.0
adf591c625cb265c12bc6749d3a2f757,beleza_saude,60.0,1146.0,6.0,150.0,20.0,24.0,33.0
3e0f398b664b26e3224c79dbf435191f,esporte_lazer,57.0,900.0,4.0,400.0,16.0,4.0,11.0
6ddc95e87149457c4c5177b0a474a9ba,moveis_decoracao,47.0,1405.0,3.0,150.0,35.0,2.0,25.0
723f62c36c298037716bf60c0ad0df3a,relogios_presentes,57.0,276.0,4.0,250.0,16.0,2.0,11.0
c18c01e09509a509e2b88d3ed40c580e,bebes,46.0,1039.0,1.0,2150.0,42.0,25.0,15.0
e7cad5e8ed9b92e788262ad710c33bd0,esporte_lazer,56.0,663.0,4.0,150.0,16.0,5.0,11.0
c33d78b97260227119fb2b71be168fca,cama_mesa_banho,39.0,170.0,1.0,650.0,27.0,10.0,22.0
e8fd6f481db77b847e7ab93fa1510e7e,eletroportateis,53.0,794.0,4.0,2700.0,20.0,26.0,32.0
67bea89008edcb996cfe4e3d062b62a8,utilidades_domesticas,56.0,414.0,1.0,1200.0,23.0,22.0,16.0
6f0169f259bb0ff432bfff7d829b9946,casa_construcao,58.0,918.0,6.0,1050.0,16.0,20.0,16.0
b6f3b8136ba8302906df7e11ff908751,pet_shop,36.0,617.0,1.0,1350.0,23.0,7.0,30.0
